1	240	28.0
1	240	17.0
1	240	15.0
1	240	14.0
1	240	18.0
1	240	0.0
1	240	38.0
1	240	6.0
1	240	50.0
1	240	65.0
1	240	75.0
1	240	1.0
1	240	70.0
1	240	28.0
1	240	40.0
1	240	40.0
1	240	40.0
1	240	15.0
1	240	40.0
1	240	30.0
1	240	5.0
1	240	55.0
1	240	60.0
1	240	40.0
1	240	24.0
1	240	30.0
1	240	0.0
1	240	50.0
1	240	55.0
1	240	10.0
1	240	40.0
1	240	10.0
1	240	30.0
1	240	34.0
1	240	24.0
1	240	30.0
1	240	15.0
1	240	20.0
1	240	14.0
1	240	48.0
1	240	0.0
1	240	30.0
1	240	2.0
1	240	52.0
1	240	11.0
1	240	48.0
1	240	28.0
1	240	38.0
1	240	25.0
1	240	35.0
1	240	45.0
1	240	0.0
1	240	16.0
1	240	12.0
1	240	2.0
1	240	14.0
1	240	12.0
1	240	24.0
1	240	70.0
1	240	50.0
1	240	49.0
1	240	40.0
1	240	80.0
1	240	18.0
1	240	27.0
1	240	30.0
1	240	30.0
1	240	60.0
1	240	58.0
1	240	14.0
1	240	0.0
1	240	56.0
1	240	40.0
1	240	19.0
1	240	21.0
1	240	0.0
1	240	38.0
1	240	20.0
1	240	28.0
1	240	30.0
1	240	20.0
1	240	16.0
1	240	0.0
1	240	69.0
1	240	40.0
1	240	46.0
1	240	50.0
1	240	40.0
1	240	70.0
1	240	67.0
1	240	28.0
1	240	12.0
1	240	12.0
1	240	22.0
1	240	40.0
1	240	48.0
1	240	48.0
1	240	15.0
1	240	12.0
1	240	0.0
1	240	15.0
1	240	20.0
1	240	17.0
1	240	30.0
1	240	30.0
1	240	32.0
1	240	48.0
1	240	20.0
1	240	10.0
1	240	20.0
1	240	42.0
1	240	30.0
